y time id
3 1 1
3 2 1
3 3 1
2 4 1
3 5 1
2 6 1
2 7 1
3 8 1
3 9 1
1 10 1
1 11 1
0 12 1
5 13 1
0 14 1
0 15 1
1 1 2
0 2 2
2 3 2
4 4 2
3 5 2
4 6 2
5 7 2
5 8 2
2 9 2
5 10 2
4 11 2
0 12 2
2 13 2
1 14 2
2 15 2
4 1 3
3 2 3
2 3 3
2 4 3
2 5 3
3 6 3
4 7 3
3 8 3
3 9 3
3 10 3
2 11 3
3 12 3
5 13 3
6 14 3
5 15 3
2 1 4
3 2 4
2 3 4
1 4 4
1 5 4
1 6 4
2 7 4
2 8 4
3 9 4
2 10 4
3 11 4
1 12 4
1 13 4
1 14 4
2 15 4
4 1 5
4 2 5
3 3 5
3 4 5
2 5 5
2 6 5
4 7 5
3 8 5
3 9 5
3 10 5
4 11 5
3 12 5
3 13 5
4 14 5
2 15 5
3 1 6
3 2 6
2 3 6
0 4 6
2 5 6
2 6 6
4 7 6
3 8 6
2 9 6
2 10 6
2 11 6
3 12 6
1 13 6
3 14 6
2 15 6
3 1 7
2 2 7
2 3 7
3 4 7
5 5 7
3 6 7
6 7 7
6 8 7
4 9 7
3 10 7
4 11 7
5 12 7
5 13 7
4 14 7
2 15 7
2 1 8
3 2 8
2 3 8
1 4 8
3 5 8
3 6 8
2 7 8
0 8 8
0 9 8
1 10 8
1 11 8
0 12 8
3 13 8
2 14 8
4 15 8
1 1 9
3 2 9
2 3 9
3 4 9
4 5 9
4 6 9
4 7 9
5 8 9
3 9 9
5 10 9
5 11 9
3 12 9
3 13 9
5 14 9
4 15 9
1 1 10
2 2 10
2 3 10
2 4 10
2 5 10
1 6 10
1 7 10
1 8 10
1 9 10
1 10 10
1 11 10
1 12 10
2 13 10
0 14 10
2 15 10
4 1 11
4 2 11
5 3 11
3 4 11
2 5 11
2 6 11
3 7 11
3 8 11
3 9 11
4 10 11
2 11 11
2 12 11
3 13 11
4 14 11
3 15 11
2 1 12
2 2 12
4 3 12
2 4 12
2 5 12
2 6 12
1 7 12
0 8 12
2 9 12
3 10 12
2 11 12
1 12 12
2 13 12
3 14 12
4 15 12
4 1 13
2 2 13
2 3 13
3 4 13
4 5 13
4 6 13
4 7 13
4 8 13
3 9 13
5 10 13
3 11 13
5 12 13
3 13 13
4 14 13
3 15 13
2 1 14
2 2 14
1 3 14
0 4 14
1 5 14
2 6 14
2 7 14
1 8 14
1 9 14
1 10 14
1 11 14
1 12 14
1 13 14
1 14 14
1 15 14
0 1 15
0 2 15
0 3 15
0 4 15
2 5 15
2 6 15
2 7 15
0 8 15
0 9 15
1 10 15
0 11 15
0 12 15
0 13 15
0 14 15
2 15 15
1 1 16
1 2 16
1 3 16
1 4 16
1 5 16
1 6 16
0 7 16
1 8 16
0 9 16
0 10 16
0 11 16
1 12 16
0 13 16
1 14 16
0 15 16
4 1 17
3 2 17
4 3 17
3 4 17
1 5 17
0 6 17
3 7 17
2 8 17
4 9 17
2 10 17
2 11 17
2 12 17
1 13 17
2 14 17
1 15 17
7 1 18
7 2 18
3 3 18
4 4 18
4 5 18
5 6 18
4 7 18
4 8 18
5 9 18
6 10 18
6 11 18
7 12 18
4 13 18
4 14 18
4 15 18
2 1 19
2 2 19
1 3 19
1 4 19
1 5 19
1 6 19
2 7 19
2 8 19
3 9 19
7 10 19
4 11 19
6 12 19
1 13 19
0 14 19
0 15 19
0 1 20
1 2 20
0 3 20
0 4 20
0 5 20
0 6 20
0 7 20
0 8 20
0 9 20
0 10 20
0 11 20
0 12 20
0 13 20
0 14 20
0 15 20
1 1 21
1 2 21
1 3 21
1 4 21
1 5 21
0 6 21
0 7 21
0 8 21
0 9 21
0 10 21
1 11 21
1 12 21
0 13 21
0 14 21
0 15 21
2 1 22
0 2 22
2 3 22
0 4 22
0 5 22
0 6 22
1 7 22
1 8 22
0 9 22
1 10 22
2 11 22
0 12 22
0 13 22
0 14 22
0 15 22
4 1 23
4 2 23
3 3 23
2 4 23
1 5 23
2 6 23
2 7 23
1 8 23
2 9 23
2 10 23
2 11 23
2 12 23
4 13 23
4 14 23
3 15 23
0 1 24
1 2 24
0 3 24
1 4 24
0 5 24
1 6 24
1 7 24
2 8 24
1 9 24
1 10 24
1 11 24
0 12 24
1 13 24
1 14 24
0 15 24
0 1 25
2 2 25
0 3 25
1 4 25
0 5 25
2 6 25
0 7 25
1 8 25
2 9 25
2 10 25
1 11 25
1 12 25
0 13 25
0 14 25
1 15 25
1 1 26
0 2 26
0 3 26
0 4 26
0 5 26
0 6 26
1 7 26
0 8 26
0 9 26
0 10 26
0 11 26
1 12 26
0 13 26
1 14 26
2 15 26
2 1 27
2 2 27
3 3 27
2 4 27
1 5 27
1 6 27
1 7 27
0 8 27
0 9 27
0 10 27
1 11 27
1 12 27
0 13 27
0 14 27
0 15 27
1 1 28
1 2 28
0 3 28
0 4 28
0 5 28
0 6 28
1 7 28
0 8 28
0 9 28
1 10 28
0 11 28
0 12 28
0 13 28
0 14 28
1 15 28
12 1 29
8 2 29
7 3 29
3 4 29
3 5 29
2 6 29
4 7 29
2 8 29
2 9 29
4 10 29
3 11 29
4 12 29
3 13 29
4 14 29
2 15 29
1 1 30
2 2 30
2 3 30
1 4 30
1 5 30
1 6 30
1 7 30
1 8 30
1 9 30
1 10 30
1 11 30
3 12 30
2 13 30
2 14 30
2 15 30
1 1 31
3 2 31
2 3 31
2 4 31
3 5 31
2 6 31
1 7 31
0 8 31
2 9 31
1 10 31
0 11 31
0 12 31
2 13 31
1 14 31
1 15 31
2 1 32
2 2 32
1 3 32
0 4 32
2 5 32
1 6 32
1 7 32
0 8 32
2 9 32
0 10 32
1 11 32
0 12 32
1 13 32
1 14 32
1 15 32
3 1 33
2 2 33
5 3 33
2 4 33
2 5 33
1 6 33
1 7 33
2 8 33
2 9 33
3 10 33
3 11 33
11 12 33
1 13 33
3 14 33
2 15 33
1 1 34
1 2 34
4 3 34
1 4 34
0 5 34
2 6 34
2 7 34
3 8 34
1 9 34
2 10 34
2 11 34
1 12 34
3 13 34
2 14 34
0 15 34
0 1 35
1 2 35
0 3 35
0 4 35
0 5 35
0 6 35
0 7 35
0 8 35
0 9 35
0 10 35
0 11 35
0 12 35
0 13 35
0 14 35
1 15 35
0 1 36
0 2 36
0 3 36
0 4 36
0 5 36
0 6 36
0 7 36
0 8 36
1 9 36
0 10 36
0 11 36
0 12 36
0 13 36
0 14 36
0 15 36
0 1 37
1 2 37
2 3 37
0 4 37
1 5 37
0 6 37
1 7 37
1 8 37
0 9 37
0 10 37
0 11 37
0 12 37
0 13 37
0 14 37
0 15 37
0 1 38
0 2 38
0 3 38
0 4 38
0 5 38
0 6 38
0 7 38
0 8 38
1 9 38
0 10 38
0 11 38
0 12 38
0 13 38
1 14 38
0 15 38
0 1 39
0 2 39
1 3 39
0 4 39
0 5 39
0 6 39
1 7 39
0 8 39
1 9 39
